"COU","Country","POL","Pollutant","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DEU","Germany","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","1992","1992","KG_HAB","Kilograms per capita","3","Thousands",,,14.333,,
"DEU","Germany","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","1993","1993","KG_HAB","Kilograms per capita","3","Thousands",,,14.125,,
"DEU","Germany","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","1994","1994","KG_HAB","Kilograms per capita","3","Thousands",,,13.848,,
"DEU","Germany","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","1995","1995","KG_HAB","Kilograms per capita","3","Thousands",,,13.72,,
"DEU","Germany","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","1996","1996","KG_HAB","Kilograms per capita","3","Thousands",,,13.891,,
"DEU","Germany","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","1997","1997","KG_HAB","Kilograms per capita","3","Thousands",,,13.436,,
"DEU","Germany","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","1998","1998","KG_HAB","Kilograms per capita","3","Thousands",,,13.134,,
"DEU","Germany","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","1999","1999","KG_HAB","Kilograms per capita","3","Thousands",,,12.706,,
"DEU","Germany","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","2000","2000","KG_HAB","Kilograms per capita","3","Thousands",,,12.653,,
"DEU","Germany","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","2001","2001","KG_HAB","Kilograms per capita","3","Thousands",,,12.81,,
"DEU","Germany","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","2002","2002","KG_HAB","Kilograms per capita","3","Thousands",,,12.523,,
"DEU","Germany","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","2003","2003","KG_HAB","Kilograms per capita","3","Thousands",,,12.472,,
"DEU","Germany","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","2004","2004","KG_HAB","Kilograms per capita","3","Thousands",,,12.244,,
"DEU","Germany","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","2005","2005","KG_HAB","Kilograms per capita","3","Thousands",,,11.944,,
"DEU","Germany","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","2006","2006","KG_HAB","Kilograms per capita","3","Thousands",,,12.041,,
"DEU","Germany","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","2007","2007","KG_HAB","Kilograms per capita","3","Thousands",,,11.729,,
"DEU","Germany","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","2008","2008","KG_HAB","Kilograms per capita","3","Thousands",,,11.752,,
"DEU","Germany","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","2009","2009","KG_HAB","Kilograms per capita","3","Thousands",,,10.968,,
"DEU","Germany","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","2010","2010","KG_HAB","Kilograms per capita","3","Thousands",,,11.401,,
"DEU","Germany","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","2011","2011","KG_HAB","Kilograms per capita","3","Thousands",,,11.305,,
"DEU","Germany","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","2012","2012","KG_HAB","Kilograms per capita","3","Thousands",,,11.356,,
"DEU","Germany","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","2013","2013","KG_HAB","Kilograms per capita","3","Thousands",,,11.575,,
"DEU","Germany","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","2014","2014","KG_HAB","Kilograms per capita","3","Thousands",,,11.032,,
"DEU","Germany","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","2015","2015","KG_HAB","Kilograms per capita","3","Thousands",,,10.977,,
"DEU","Germany","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","2016","2016","KG_HAB","Kilograms per capita","3","Thousands",,,10.912,,
"DEU","Germany","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","2017","2017","KG_HAB","Kilograms per capita","3","Thousands",,,10.666,,
"DEU","Germany","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","2018","2018","KG_HAB","Kilograms per capita","3","Thousands",,,10.206,,
"DEU","Germany","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","2019","2019","KG_HAB","Kilograms per capita","3","Thousands",,,9.563,,
"DEU","Germany","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","2020","2020","KG_HAB","Kilograms per capita","3","Thousands",,,8.789,,
"DEU","Germany","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","2021","2021","KG_HAB","Kilograms per capita","3","Thousands",,,9.147,,
"DEU","Germany","CO2","Carbon dioxide","TOTAL","Total  emissions excluding LULUCF","1990","1990","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,1054740.644,,
"DEU","Germany","CO2","Carbon dioxide","TOTAL","Total  emissions excluding LULUCF","1991","1991","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,1016870.291,,
"DEU","Germany","CO2","Carbon dioxide","TOTAL","Total  emissions excluding LULUCF","1992","1992","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,969474.183,,
"DEU","Germany","CO2","Carbon dioxide","TOTAL","Total  emissions excluding LULUCF","1993","1993","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,959367.198,,
"DEU","Germany","CO2","Carbon dioxide","TOTAL","Total  emissions excluding LULUCF","1994","1994","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,943184.837,,
"DEU","Germany","CO2","Carbon dioxide","TOTAL","Total  emissions excluding LULUCF","1995","1995","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,939897.145,,
